trade_id,strategy,symbol,direction,entry_date,entry_price,return_pct,win,macd0_pct,gap_atr,macd_line,macd_signal,exit_date,exit_price,rsi_entry,weekly_rsi,adx,di_plus,di_minus,rvol,gp_zone
AWK_2020-01-31_short,SID,AWK,short,2020-01-31,136.2,2.2834,1,0.4836,0.8946804914178311,3.959642374362659,3.3010469626037464,2020-02-25,133.09,78.93920347751558,70.88182401474454,39.541614710343026,43.66612140239549,8.165374087171264,1.3678513489831792,0.0
WFC_2020-02-03_long,SID,WFC,long,2020-02-03,47.12,0.0034,1,-0.2774,0.4334170631538323,-1.5388,-1.4081,,,28.701803924336616,36.40299384059214,40.66167791315943,12.93183703903452,34.6340165304552,0.7076599887863165,0.0
BLV_2020-02-04_short,SID,BLV,short,2020-02-04,104.54,-1.9227,0,0.2002,1.6749474072530917,1.0328297048026087,0.8235310398972003,2020-03-11,106.55,60.84088403467515,66.48128667931738,25.853279767436533,33.61292790050798,20.790001346947008,1.4516570986492827,0.0
OSW_2020-02-04_long,SID,OSW,long,2020-02-04,15.07,4.4459,1,-0.7377,0.981087958309572,-0.3841690484570339,-0.2729982968239604,2020-02-12,15.74,37.55045316872761,45.473104447704486,26.384131423095813,11.753292105775332,25.81078658531718,2.755812618822291,0.0
UAL_2020-02-04_long,SID,UAL,long,2020-02-04,78.89,4.1957,1,-0.928,1.6340471898566211,-3.2915796161334754,-2.5594805161071426,2020-02-12,82.2,40.35391258931925,31.34294697540328,36.21322401416299,12.315505197238592,28.105916861827257,1.65467699714923,0.0
TGT_2020-02-05_long,SID,TGT,long,2020-02-05,115.53,0.4665,1,-0.0804,2.1085077237838035,-2.6779,-2.585,,,43.91505595852612,48.80328631750825,38.36507457961461,14.708240499350152,31.31865247350297,0.6591141936905687,1.0
XLU_2020-02-07_short,SID,XLU,short,2020-02-07,34.295,0.7873,1,-0.0588,1.345342264710559,0.5633073418589234,0.5834717796433656,2020-02-25,34.025,67.87067168782953,74.579908855928,50.10885958743928,30.29060535209828,10.850658756487478,0.7901931769206971,0.0
CLX_2020-02-11_short,SID,CLX,short,2020-02-11,164.76,3.2411,1,0.4296,1.5250708447441688,3.098626873322047,2.3907551844969546,2020-02-28,159.42,64.04144402448995,68.18551036710512,26.10714853572432,34.047722199943344,19.783464840671257,0.8397659958542365,0.0
IBM_2020-02-13_short,SID,IBM,short,2020-02-13,147.391357,5.1066,1,0.5823,1.5242450927375093,4.6863501172191775,3.828120533770486,2020-02-24,139.864665,68.00607208225104,70.83185827186533,30.25567392092169,43.600037713462015,18.76248200918781,0.6570316793203544,0.0
AEP_2020-02-19_short,SID,AEP,short,2020-02-19,103.5,3.343,1,-0.172,1.0581973837827918,1.6866664957225763,1.864717883959254,2020-02-24,100.04,65.10964524767499,70.12365542025672,41.39029411585742,36.18269635531206,16.54416588515588,0.7597059675020216,0.0
AVB_2020-02-19_short,SID,AVB,short,2020-02-19,225.8,8.0292,1,0.2815,1.273850274016922,3.5178604131020847,2.88216078343382,2020-02-27,207.67,66.4654680347985,66.38076700819303,37.50874360827846,32.09829752189363,8.450474296617914,1.0390923091875603,0.0
AEHR_2020-02-20_short,SID,AEHR,short,2020-02-20,2.39,9.205,1,1.412,2.3814206585227153,0.111565423322026,0.0778186578206449,2020-02-24,2.17,58.60407000034034,64.16507055500773,17.071266859161117,28.64946166465864,22.918258259280037,1.4192631050138982,0.0
COST_2020-02-24_short,SID,COST,short,2020-02-24,313.62,2.79,1,0.0474,0.0,4.554119715456011,4.40551000632981,2020-02-25,304.87,52.2744855524081,70.9601327883407,26.399622850972655,25.978358566177512,23.376230277472832,1.197105916427187,0.0
STE_2020-02-24_short,SID,STE,short,2020-02-24,167.46,5.2789,1,0.5841,0.4892006960877903,4.466719322673356,3.4886661048084533,2020-02-28,158.62,73.26663996861413,70.11161124712267,42.12038701248773,30.83615916063686,12.702140627922242,1.4737650716121105,0.0
WEN_2020-02-25_short,SID,WEN,short,2020-02-25,22.96,4.6603,1,0.3273,2.2904488268116925,0.404342895583607,0.3291980872761879,2020-02-26,21.89,55.69955530097773,68.81488924951448,20.74946142001129,24.28937136113619,17.721006227984297,2.336634467751772,0.0
AAPL_2020-03-02_long,SID,AAPL,long,2020-03-02,74.7025,-12.1616,0,-1.5818,0.0,-1.5737914964285975,-0.3921375601390434,2020-04-06,65.6175,46.525907814114014,49.89053371775275,28.729883543914124,23.09294179358832,38.95463594329351,2.227313636086691,0.0
KHC_2020-03-02_long,SID,KHC,long,2020-03-02,26.07,-4.9866,0,-0.7568,2.3469477188435404,-1.272026003060546,-1.074723173000751,2020-03-26,24.77,34.96224032936411,30.99846478375774,35.37172874083145,19.414808723700567,39.889745833918845,1.4597948909873797,0.0
PFE_2020-03-02_long,SID,PFE,long,2020-03-02,33.064426,4.3578,1,-0.5619,2.635287750836668,-1.1164958367097595,-0.9306926269777962,2020-03-04,34.505307,38.692725944020594,31.955380863969637,36.00793372377848,20.074870142091484,38.536950334499565,1.354087597264979,0.0
PG_2020-03-02_long,SID,PG,long,2020-03-02,119.56,0.3643,1,-0.8956,4.455218672925171,-1.9822,-0.9114,,,42.77541155134172,36.761487481395655,20.798545577954233,25.52370126595738,46.26638694553571,1.567790598885627,0.0
GIS_2020-03-03_long,SID,GIS,long,2020-03-03,51.65,4.879,1,-0.4836,0.0,-0.488729162464331,-0.2389342133070789,2020-03-04,54.17,45.78997299769717,38.43406905442359,16.16802159151417,32.28315313026595,36.76337330456655,1.8176689030639508,0.0
ABT_2020-03-04_long,SID,ABT,long,2020-03-04,82.09,-3.35,0,-0.928,3.0461947666535494,-2.228283794318912,-1.4665061753034248,2020-03-30,79.34,43.91126030203235,36.571818310276775,25.439315059949987,18.576078310213212,33.057487739390325,1.4712877383534395,0.0
C_2020-03-04_long,SID,C,long,2020-03-04,67.39,-29.6483,0,-1.5043,2.512572620580001,-3.321129822400067,-2.3073665168168196,2020-04-09,47.41,36.49710331327878,34.1839813089702,30.735558008139865,17.37097470075694,39.757615806982514,1.5353362280761385,0.0
